GB GCA 000435155.1	5198746
GB GCA 000435175.1	5197285
GB GCA 000435195.1	5197517
GB GCA 000435215.1	5196606
GB GCA 000435255.1	5160107
GB GCA 000435275.1	5197507
GB GCA 000435295.1	5198117
GB GCA 000435335.1	5197339
GB GCA 000435375.1	5197526
GB GCA 000435395.1	5198245
GB GCA 000435415.1	5159880
GB GCA 000435435.1	5160311
GB GCA 000435455.1	5197286
GB GCA 000435475.1	5160522
GB GCA 000435495.1	5198099
GB GCA 000435515.1	5198456
GB GCA 000435535.1	5197251
GB GCA 000435555.1	5198265
GB GCA 000435575.1	5197287
GB GCA 000435595.1	5198220
GB GCA 000435615.1	5198326
GB GCA 000435635.1	5160117
GB GCA 000435655.1	5197187
GB GCA 000435675.1	5160528
GB GCA 000435715.1	5198266
GB GCA 000435755.1	5197505
GB GCA 000435775.1	5198417
GB GCA 000435795.1	5197253
GB GCA 000435815.1	5196939
GB GCA 000435835.1	5197359
GB GCA 000435895.1	5160284
GB GCA 000435975.1	5197070
GB GCA 000435995.1	5198474
GB GCA 000436035.1	5160161
GB GCA 000436075.1	5160527
GB GCA 000436095.1	5198780
GB GCA 000436115.1	5198179
GB GCA 000436175.1	5197245
GB GCA 000436215.1	5197633
GB GCA 000436255.1	5197439
GB GCA 000436275.1	5198328
GB GCA 000436295.1	5198779
GB GCA 000436335.1	5197518
GB GCA 000436375.1	5169904
GB GCA 000436395.1	5204053
GB GCA 000436415.1	5198453
GB GCA 000436455.1	5197211
GB GCA 000436475.1	5196941
GB GCA 000436495.1	5160248
GB GCA 000436535.1	5196921
GB GCA 000436575.1	5197283
GB GCA 000436595.1	5160119
GB GCA 000436615.1	5196607
GB GCA 000436635.1	5196647
GB GCA 000436695.1	5160118
GB GCA 000436735.1	5198119
GB GCA 000436755.1	5197284
GB GCA 000436775.1	5196940
GB GCA 000436795.1	5159865
GB GCA 000436835.1	5196942
GB GCA 000436875.1	5197069
GB GCA 000436895.1	5160093
GB GCA 000436915.1	5160158
GB GCA 000436935.1	5198325
GB GCA 000436955.1	5196661
GB GCA 000436975.1	5197527
GB GCA 000437015.1	5197662
GB GCA 000437075.1	5204052
GB GCA 000437095.1	5196656
GB GCA 000437115.1	5197500
GB GCA 000437135.1	5159862
GB GCA 000437155.1	5160516
GB GCA 000437175.1	5197639
GB GCA 000437215.1	5197279
GB GCA 000437235.1	5198515
GB GCA 000437255.1	5197631
GB GCA 000437275.1	5197275
GB GCA 000437315.1	5196532
GB GCA 000437335.1	5200222
GB GCA 000437355.1	5198178
GB GCA 000437375.1	5196928
GB GCA 000437395.1	5197555
GB GCA 000437435.1	5197468
GB GCA 000437455.1	5197193
GB GCA 000437495.1	5160113
GB GCA 000437515.1	5169785
GB GCA 000437535.1	5160108
GB GCA 000437555.1	5198784
GB GCA 000437575.1	5197194
GB GCA 000437595.1	5197666
GB GCA 000437635.1	5166792
GB GCA 000437655.1	5197313
GB GCA 000437675.1	5160164
GB GCA 000437695.1	5198419
GB GCA 000437715.1	5198523
GB GCA 000437735.1	5196926
GB GCA 000437755.1	5196658
GB GCA 000437775.1	5204409
GB GCA 000437795.1	5160116
GB GCA 000437815.1	5198783
GB GCA 000437855.1	5197252
GB GCA 000437875.1	5197357
GB GCA 000437895.1	5197155
GB GCA 000437915.1	5197656
GB GCA 000437955.1	5196973
GB GCA 000437975.1	5196953
GB GCA 000438015.1	5203708
GB GCA 000438055.1	5197443
GB GCA 000438075.1	5197393
GB GCA 000438095.1	5197195
GB GCA 000438115.1	5160168
GB GCA 000438155.1	5198246
GB GCA 000438175.1	5204427
GB GCA 000438195.1	5196558
GB GCA 000438255.1	5197568
GB GCA 000438275.1	5196604
GB GCA 000438295.1	5197281
GB GCA 000438355.1	5197356
GB GCA 000438375.1	5196663
GB GCA 000438415.1	5197246
GB GCA 000438435.1	5197628
GB GCA 000438985.1	5158926
GB GCA 000439025.2	5158988
GB GCA 000439395.1	5173923
GB GCA 000444765.1	5204352
GB GCA 000445185.1	5242498
GB GCA 000445205.1	5236526
GB GCA 000447245.1	5245133
GB GCA 000448525.1	5236672
GB GCA 000448565.1	5242591
GB GCA 000448665.1	5242560
GB GCA 000465115.1	5234149
GB GCA 000465325.1	69342
GB GCA 000467025.1	5239044
GB GCA 000467675.1	5238948
GB GCA 000470435.1	5237378
GB GCA 000470555.1	4778122
GB GCA 000476535.1	5236588
GB GCA 000485475.1	4770036
GB GCA 000485495.1	5162967
GB GCA 000493905.1	5245139
GB GCA 000493945.1	5245143
GB GCA 000493965.1	5245150
GB GCA 000493985.1	5245151
GB GCA 000494045.1	5245136
GB GCA 000494225.1	5245598
GB GCA 000495415.1	5236546
GB GCA 000495595.1	5236541
GB GCA 000495615.1	5239798
GB GCA 000499325.1	5260992
GB GCA 000499345.1	5260991
GB GCA 000500915.1	5253004
GB GCA 000501215.1	5260504
GB GCA 000503195.1	5283839
GB GCA 000503835.1	5245140
GB GCA 000503875.1	5245144
GB GCA 000503915.1	5245146
GB GCA 000504625.1	5169579
GB GCA 000504645.1	5163037
GB GCA 000505065.1	5245149
GB GCA 000506665.1	5258488
GB GCA 000508525.1	5290718
GB GCA 000508545.1	5293532
GB GCA 000508605.1	5285457
GB GCA 000508625.1	5296833
GB GCA 000510385.1	5258339
GB GCA 000510505.1	5258338
GB GCA 000510525.1	5258341
GB GCA 000510545.1	5258340
GB GCA 000510565.1	5294200
GB GCA 000510845.1	5169641
GB GCA 000512675.1	5288978
GB GCA 000513055.1	5169392
GB GCA 000513735.1	850229
GB GCA 000521265.1	5290661
GB GCA 000522985.1	4790705
GB GCA 000524035.1	4771031
GB GCA 000564875.1	5404332
GB GCA 000576245.1	5284134
GB GCA 000582535.1	5291013
GB GCA 000584955.2	5357339
GB GCA 000584975.2	5357342
GB GCA 000584995.1	5357340
GB GCA 000585015.1	5357344
GB GCA 000585035.2	5357346
GB GCA 000585075.1	5357347
GB GCA 000586415.1	5378367
GB GCA 000586435.1	5378352
GB GCA 000586455.1	5378371
GB GCA 000586475.1	5378355
GB GCA 000588835.1	5293523
GB GCA 000597945.1	5393716
GB GCA 000613065.1	209974
GB GCA 000613385.1	5394719
GB GCA 000614125.1	5394717
GB GCA 000633975.1	5373532
GB GCA 000633995.1	5373583
GB GCA 000634015.1	5373564
GB GCA 000634035.1	5373512
GB GCA 000634095.1	5373506
GB GCA 000634115.1	5373538
GB GCA 000634155.1	5373579
GB GCA 000634175.1	5373518
GB GCA 000634195.1	5373514
GB GCA 000634215.1	5373565
GB GCA 000634255.1	5373570
GB GCA 000634295.1	5373573
GB GCA 000634375.1	5373531
GB GCA 000634415.1	5373576
GB GCA 000634455.1	5373546
GB GCA 000634475.1	5373516
GB GCA 000634515.1	5373568
GB GCA 000634695.1	5373572
GB GCA 000634735.1	5373493
GB GCA 000634755.1	5373580
GB GCA 000634775.1	5373574
GB GCA 000634795.1	5373586
GB GCA 000634815.1	5373533
GB GCA 000634935.1	5373494
GB GCA 000634975.1	5373505
GB GCA 000634995.1	5373517
GB GCA 000635015.1	5373542
GB GCA 000635035.1	5373510
GB GCA 000635095.1	5373561
GB GCA 000635115.1	5373541
GB GCA 000635135.1	5373567
GB GCA 000635155.1	5373551
GB GCA 000635195.1	5373537
GB GCA 000635235.1	5373563
GB GCA 000635355.1	5373578
GB GCA 000635415.1	5373495
GB GCA 000635455.1	5373528
GB GCA 000635475.1	5373501
GB GCA 000635495.1	5373530
GB GCA 000635515.1	5373519
GB GCA 000635595.1	5373509
GB GCA 000635615.1	5373545
GB GCA 000635635.1	5373569
GB GCA 000635675.1	5373543
GB GCA 000635695.1	5373536
GB GCA 000635755.1	5373544
GB GCA 000635775.1	5373581
GB GCA 000635795.1	5373526
GB GCA 000635815.1	5373496
GB GCA 000647915.1	5379907
GB GCA 000681355.2	5360970
GB GCA 000691445.1	5367546
GB GCA 000696385.1	5377249
GB GCA 000699205.1	5377237
GB GCA 000707405.1	755192
GB GCA 000708525.1	5373611
GB GCA 000715605.1	298693
GB GCA 000715615.1	686084
GB GCA 000715635.1	676395
GB GCA 000715685.1	186212
GB GCA 000715825.1	866030
GB GCA 000715855.1	968722
GB GCA 000715895.1	27551
GB GCA 000715915.1	809343
GB GCA 000715965.1	829817
GB GCA 000716085.1	5649620
GB GCA 000716155.1	57223
GB GCA 000716195.1	5649537
GB GCA 000716275.1	5649560
GB GCA 000716705.1	362027
GB GCA 000717565.2	863083
GB GCA 000718415.2	943937
GB GCA 000722215.1	5647473
GB GCA 000722255.1	156010
GB GCA 000722295.1	5647672
GB GCA 000722325.1	5650904
GB GCA 000722505.1	5658197
GB GCA 000724175.1	5657133
GB GCA 000724905.2	938971
GB GCA 000730165.1	5288968
GB GCA 000733615.1	22284
GB GCA 000737335.3	4018095
GB GCA 000737945.1	5657741
GB GCA 000739515.1	5351577
GB GCA 000739535.1	5351469
GB GCA 000740805.1	5360970
GB GCA 000740865.1	5360970
GB GCA 000742775.1	617786
GB GCA 000743035.1	682601
GB GCA 000743525.1	5634751
GB GCA 000747095.1	5634714
GB GCA 000747625.2	5394623
GB GCA 000749465.2	5659526
GB GCA 000751215.1	1038143
GB GCA 000751295.1	5569203
GB GCA 000753575.1	5575027
GB GCA 000753945.1	5642124
GB GCA 000754155.1	770956
GB GCA 000754425.1	5575771
GB GCA 000754435.1	5575761
GB GCA 000754445.1	5575760
GB GCA 000754455.1	5575696
GB GCA 000756735.1	5383413
GB GCA 000759655.1	721935
GB GCA 000767155.1	565453
GB GCA 000769715.1	5642204
GB GCA 000770195.1	4791758
GB GCA 000770645.1	5605160
GB GCA 000786105.1	5642315
GB GCA 000786775.1	168333
GB GCA 000789415.1	5634752
GB GCA 000800665.1	80804
GB GCA 000802045.1	5585857
GB GCA 000802095.1	5585851
GB GCA 000802135.1	5605161
GB GCA 000803625.1	5572616
GB GCA 000807975.1	5392425
GB GCA 000808095.1	381985
GB GCA 000813105.1	5255272
GB GCA 000815405.1	358587
GB GCA 000817085.1	5575644
GB GCA 000817095.1	5575665
GB GCA 000817105.1	5575675
GB GCA 000817115.1	5575717
GB GCA 000820785.2	357804
GB GCA 000821185.1	1056433
GB GCA 000829155.1	5394711
GB GCA 000830175.1	5634748
GB GCA 000830255.1	5634713
GB GCA 000830415.1	5377188
GB GCA 000830435.1	5377188
GB GCA 000830455.1	5377415
GB GCA 000830475.1	5377188
GB GCA 000831085.1	5605713
GB GCA 000836615.1	809870
GB GCA 000932205.1	5647145
GB GCA 000934545.1	5586982
GB GCA 000935965.1	5369202
GB GCA 000941095.1	982063
GB GCA 000944695.1	902518
GB GCA 000947035.1	4775972
GB GCA 000950365.1	524741
GB GCA 000961575.1	5585856
GB GCA 000961585.1	5585853
GB GCA 000961595.1	5585855
GB GCA 000961635.1	5636329
GB GCA 000961645.1	5575299
GB GCA 000961655.1	5642237
GB GCA 000961695.1	5588673
GB GCA 000961715.1	5640461
GB GCA 000961725.1	5588734
GB GCA 000961745.1	5588169
GB GCA 000961765.1	5585822
GB GCA 000961795.1	5641101
GB GCA 000961845.1	5580475
GB GCA 000965765.1	983101
GB GCA 000966985.1	5648245
GB GCA 000970375.1	246049
GB GCA 000980375.1	5604927
GB GCA 000980425.1	5605486
GB GCA 000980455.1	5604850
GB GCA 000980495.1	5620072
GB GCA 000980515.1	5615726
GB GCA 000980705.1	5605129
GB GCA 000981625.1	5586217
GB GCA 000981645.1	5586249
GB GCA 000981705.1	5588617
GB GCA 000981725.1	5587031
GB GCA 000987045.1	5580428
GB GCA 000987375.1	991798
GB GCA 000987445.1	4777083
GB GCA 000988605.1	518532
GB GCA 000988615.1	518532
GB GCA 000988745.1	518532
GB GCA 000989165.1	5562034
GB GCA 000989175.1	5573312
GB GCA 000989185.1	5573449
GB GCA 000989195.1	5573455
GB GCA 000989245.1	5562050
GB GCA 000989255.1	5573451
GB GCA 000989305.1	5562045
GB GCA 000989325.1	5561860
GB GCA 000989355.1	5573398
GB GCA 000989365.1	5573150
GB GCA 000989425.1	5561882
GB GCA 000989485.1	5562008
GB GCA 000989515.1	5573135
GB GCA 000989525.1	5573458
GB GCA 000989565.1	5573538
GB GCA 000989585.1	5573532
GB GCA 000989595.1	5561954
GB GCA 000989635.1	5573529
GB GCA 000989665.1	5573386
GB GCA 000989675.1	5572864
GB GCA 000989685.1	5561863
GB GCA 000989705.1	5572856
GB GCA 000989765.1	5562079
GB GCA 000989775.1	5572861
GB GCA 000989825.1	5562064
GB GCA 000989845.1	5561878
GB GCA 000989855.1	5561924
GB GCA 000989865.1	5562078
GB GCA 000989885.1	5573357
GB GCA 000989925.1	5561858
GB GCA 000989955.1	5573456
GB GCA 000989975.1	5573452
GB GCA 000990005.1	5561939
GB GCA 000990025.1	5572855
GB GCA 000990085.1	5572860
GB GCA 000990125.1	5572854
GB GCA 000990175.1	5573168
