SppName	Label	OttId	GbifId	ncbiId	Synonyms
Akodon lutescens	Akodon_lutescens_CRICETIDAE_RODENTIA	806769	gbif:4265087	ncbi:100643	Akodon coenosus,Akodon puer,Akodon puer coenosus
Akodon mimus	Akodon_mimus_CRICETIDAE_RODENTIA	1068786	gbif:2437896	ncbi:10087	Microxus mimus
Akodon molinae	Akodon_molinae_CRICETIDAE_RODENTIA	224514	gbif:2437879	ncbi:140761	
Akodon mollis	Akodon_mollis_CRICETIDAE_RODENTIA	292088	gbif:2437912	ncbi:10075	
Akodon montensis	Akodon_montensis_CRICETIDAE_RODENTIA	837919	gbif:4265083	ncbi:106112	
Akodon mystax	Akodon_mystax_CRICETIDAE_RODENTIA	837918	gbif:4265089	ncbi:106113	
Akodon orophilus	Akodon_orophilus_CRICETIDAE_RODENTIA	754316	gbif:2437883	ncbi:29099	
Akodon paranaensis	Akodon_paranaensis_CRICETIDAE_RODENTIA	896699	gbif:4265088	ncbi:230113	Akodon paranensis
Akodon philipmyersi	Akodon_philipmyersi_CRICETIDAE_RODENTIA	373077	gbif:4828888	ncbi:306435	
Akodon polopi	Akodon_polopi_CRICETIDAE_RODENTIA	68879	gbif:8050916	ncbi:865620	
Akodon reigi	Akodon_reigi_CRICETIDAE_RODENTIA	896702	gbif:4265081	ncbi:230112	
Akodon serrensis	Akodon_serrensis_CRICETIDAE_RODENTIA	837921	gbif:2437917	ncbi:106114	
Akodon siberiae	Akodon_siberiae_CRICETIDAE_RODENTIA	360765	gbif:2437902	ncbi:29100	
Akodon simulator	Akodon_simulator_CRICETIDAE_RODENTIA	468305	gbif:2437887	ncbi:484371	
Akodon spegazzinii	Akodon_spegazzinii_CRICETIDAE_RODENTIA	170300	gbif:2437919	ncbi:230187	Akodon spegazzini,Akodon leucolimnaeus,Akodon oenos
Akodon subfuscus	Akodon_subfuscus_CRICETIDAE_RODENTIA	292092	gbif:2437904	ncbi:10077	
Akodon sylvanus	Akodon_sylvanus_CRICETIDAE_RODENTIA	536358	gbif:2437906	ncbi:399315	
Akodon toba	Akodon_toba_CRICETIDAE_RODENTIA	360763	gbif:2437891	ncbi:29101	
Akodon torques	Akodon_torques_CRICETIDAE_RODENTIA	292096	gbif:2437921	ncbi:10078	
